from,to,bw
SACR_SUNN,SUNN_LSVN,1
SACR_SUNN,SUNN_LLNL,1
SACR_SUNN,SUNN_GA,1
SACR_SUNN,SUNN_SLAC,1
SACR_SUNN,SUNN_ELPA,1
SACR_SUNN,SUNN_NERSC,1
SACR_SUNN,SUNN_SACR,1
SUNN_SACR,SACR_JGI,1
SUNN_SACR,SACR_DENV,1
SUNN_SACR,SACR_SNLL,1
SUNN_SACR,SACR_SUNN,1
LOND_NEWY,NEWY_AOFA,1
LOND_NEWY,NEWY_BOST,1
LOND_NEWY,NEWY_LOND,1
NEWY_LOND,LOND_AOFA,1
NEWY_LOND,LOND_CERN-773,1
NEWY_LOND,LOND_AMST,1
NEWY_LOND,LOND_NEWY,1
JGI_SACR,SACR_DENV,1
JGI_SACR,SACR_SNLL,1
JGI_SACR,SACR_JGI,1
PANTEX_HOUS,HOUS_NASH,1
PANTEX_HOUS,HOUS_ELPA,1
PANTEX_HOUS,HOUS_KANS,1
PANTEX_HOUS,HOUS_PANTEX,1
BOIS_PNWG,PNWG_DENV,1
BOIS_PNWG,PNWG_BOIS,1
PNWG_BOIS,BOIS_DENV,1
PNWG_BOIS,BOIS_PNWG,1
CHIC_WASH,WASH_PPPL,1
CHIC_WASH,WASH_EQX-ASH,1
CHIC_WASH,WASH_CERN-513,1
CHIC_WASH,WASH_NASH,1
CHIC_WASH,WASH_AOFA,1
CHIC_WASH,WASH_ATLA,1
CHIC_WASH,WASH_CHIC,1
WASH_CHIC,CHIC_KANS,1
WASH_CHIC,CHIC_STAR,1
WASH_CHIC,CHIC_EQX-CHI,1
WASH_CHIC,CHIC_NASH,1
WASH_CHIC,CHIC_WASH,1
LLNL_SUNN,SUNN_LSVN,1
LLNL_SUNN,SUNN_LLNL,1
LLNL_SUNN,SUNN_GA,1
LLNL_SUNN,SUNN_SLAC,1
LLNL_SUNN,SUNN_ELPA,1
LLNL_SUNN,SUNN_NERSC,1
SUNN_LLNL,LLNL_SUNN,
LSVN_SUNN,SUNN_LSVN,1
LSVN_SUNN,SUNN_LLNL,1
LSVN_SUNN,SUNN_GA,1
LSVN_SUNN,SUNN_SLAC,1
LSVN_SUNN,SUNN_ELPA,1
LSVN_SUNN,SUNN_NERSC,1
SUNN_LSVN,LSVN_SUNN,1
SUNN_LSVN,LSVN_DENV,1
CHIC_KANS,KANS_CHIC,1
CHIC_KANS,KANS_DENV,1
CHIC_KANS,KANS_HOUS,1
KANS_CHIC,CHIC_KANS,1
KANS_CHIC,CHIC_STAR,1
