from,to,bw
SACR,SUNN,200
SUNN,SACR,200
LOND,NEWY,100
NEWY,LOND,100
JGI,SACR,100
HOUS,PANTEX,1
BOIS,PNWG,100
CHIC,WASH,200
LLNL,SUNN,200
LSVN,SUNN,100
CHIC,KANS,200
CHIC,STAR,400
DENV,LSVN,200
PPPL,WASH,10
AMST,CERN-513,200
GA,SUNN,10
EQX-ASH,NETL-MGN,10
HOUS,NASH,100
EQX-ASH,NETL-PGH,10
ALBQ,SNLA,200
SNLA,ALBQ,200
EQX-ASH,WASH,100
SLAC,SUNN,200
ELPA,SUNN,100
ATLA,NASH,200
CHIC,EQX-CHI,100
NERSC,SUNN,400
AMST,BOST,100
DENV,PNWG,100
ATLA,ORNL,400
AOFA,LOND,200
ELPA,HOUS,200
ANL,STAR,400
CERN-513,WASH,100
DENV,KANS,200
BOIS,DENV,100
AOFA,NEWY,200
AOFA,STAR,200
DENV,SACR,200
NASH,WASH,200
ALBQ,DENV,200
AOFA,WASH,200
CHIC,NASH,400
ALBQ,ELPA,200
CERN-773,LOND,200
EQX-ASH,EQX-CHI,100
SACR,SNLL,100
ATLA,SRS,10
HOUS,KANS,200
CERN-513,CERN-773_in,200
AMST,LOND,200
FNAL,STAR,400
BOST,STAR,200
BOST,NEWY,200
ATLA,WASH,200
PNWG,SACR,200
