agent,ipsource,ipdestination,tcpsourceport,tcpdestinationport,bytes,rate(bytes)
198.17.101.66,198.17.101.66,130.191.103.1,TCP:47318,TCP:5201,62932600000,1048880000
198.17.101.66,198.17.101.66,130.191.103.1,TCP:47316,TCP:5201,37736700000,628945000
198.17.101.66,198.17.101.66,130.191.103.1,TCP:47314,TCP:5201,33247000000,554117000
198.17.101.66,198.17.101.66,130.191.103.1,TCP:47324,TCP:5201,31443700000,524062000
130.191.103.1,198.17.101.66,130.191.103.1,TCP:47318,TCP:5201,27922200000,465371000
198.17.101.66,198.17.101.66,130.191.103.1,TCP:47311,TCP:5201,25142400000,419041000
198.17.101.66,198.17.101.66,130.191.103.1,TCP:47322,TCP:5201,18887700000,314796000
198.17.101.66,198.17.101.66,130.191.103.1,TCP:47320,TCP:5201,18878200000,314637000
198.17.101.66,198.17.101.66,130.191.103.1,TCP:47310,TCP:5201,18877900000,314631000
130.191.103.1,198.17.101.66,130.191.103.1,TCP:47324,TCP:5201,17961000000,299350000
130.191.103.1,198.17.101.66,130.191.103.1,TCP:47314,TCP:5201,17022000000,283700000
130.191.103.1,198.17.101.66,130.191.103.1,TCP:47316,TCP:5201,16169600000,269493000
130.191.103.1,198.17.101.66,130.191.103.1,TCP:47310,TCP:5201,14383900000,239732000
10.244.84.1,198.32.43.89,10.244.216.77,163.253.71.2,10.244.84.15,TCP:50956,TCP:5201,perfsonar,testpoint-qcg58,testpoint,perfsonar,testpoint-cb59k,testpoint,12485600000,208093000
10.244.84.1,198.32.43.89,10.244.216.77,163.253.71.2,10.244.84.15,TCP:50952,TCP:5201,perfsonar,testpoint-qcg58,testpoint,perfsonar,testpoint-cb59k,testpoint,12485600000,208093000
10.244.84.1,163.253.71.2,208.69.128.88,TCP:8000,TCP:34316,12481600000,208027000
199.109.80.6,168.123.136.165,199.109.80.17,TCP:50380,TCP:5201,11022300000,183706000
199.109.80.6,168.123.136.165,199.109.80.17,TCP:50382,TCP:5201,10653700000,177562000
198.17.101.70,128.111.68.131,10.244.87.31,198.17.101.70,10.244.12.58,TCP:6802,TCP:43196,rook,rook-ceph-osd-34-5bc57b6d94-rtfbs,osd,rook,rook-ceph-osd-3-8b884b896-hkb5n,osd,7231560000,120526000
67.58.51.242,10.244.53.157,67.58.51.245,TCP:6801,TCP:53634,6653660000,110894000
64.57.24.6,163.253.72.2,128.180.2.45,TCP:8000,TCP:49362,6434800000,107247000
198.17.101.70,128.114.109.72,10.244.71.128,198.17.101.70,10.244.12.1,TCP:6801,TCP:34938,rook,rook-ceph-osd-14-5cc67cd9d-f4sgc,osd,_,_,_,6324740000,105412000
